slice,support,positive_count,positive_rate,eligible_categories,s2_macro_ap,catboost_macro_ap,catboost_minus_s2_macro_ap,s2_positive_mean_score,s2_negative_mean_score,s2_fnr_at_0_5,s2_fpr_at_0_5,catboost_positive_mean_score,catboost_negative_mean_score,catboost_fnr_at_0_5,catboost_fpr_at_0_5
all_hard,5814,1481,0.2547299621603027,18,0.30731926550219124,0.314516913783088,0.007197648280896751,0.3708597421646118,0.24690383672714233,0.6407832545577312,0.2284791137779829,0.36744046211242676,0.24451857805252075,0.636731937879811,0.23540272328640666
no_token_budget_hit,4726,1273,0.26936098180279305,18,0.31177742096216327,0.3181105104627654,0.006333089500602129,0.3754872679710388,0.2605680525302887,0.6394344069128044,0.2444251375615407,0.37324967980384827,0.2594132125377655,0.6331500392772977,0.2519548218940052
low_attribute_value_overlap,3711,1004,0.2705470223659391,18,0.31031785314315574,0.3122968898795435,0.0019790367363877737,0.36567389965057373,0.24515564739704132,0.6394422310756972,0.23272995936461027,0.3605976402759552,0.24213942885398865,0.6354581673306773,0.2393793867750277
high_title_similarity,3077,305,0.09912252193695158,18,0.21212912839984488,0.20813003408461916,-0.003999094315225715,0.43276873230934143,0.18124261498451233,0.5475409836065573,0.15728715728715728,0.4245578944683075,0.17901866137981415,0.5508196721311476,0.16305916305916307
critical_conflict,2003,424,0.21168247628557163,18,0.39197694512412906,0.3889809051712155,-0.0029960399529135873,0.20411613583564758,0.1328880935907364,0.8231132075471698,0.10449651678277391,0.18719631433486938,0.12741035223007202,0.8490566037735849,0.1013299556681444
numeric_context_conflict,1192,259,0.21728187919463088,17,0.4235330336024805,0.4226787201393678,-0.0008543134631127103,0.2274882048368454,0.1091298907995224,0.7915057915057915,0.08360128617363344,0.21157735586166382,0.10175856947898865,0.8146718146718147,0.07609860664523044
token_budget_hit,1088,208,0.19117647058823528,15,0.32956255435841736,0.33103328164754003,0.0014707272891226753,0.3425384759902954,0.19328738749027252,0.6490384615384616,0.16590909090909092,0.33188679814338684,0.186073899269104,0.6586538461538461,0.17045454545454544
sku_human_asymmetry,622,267,0.4292604501607717,18,0.48022704161336105,0.46638200030746124,-0.013845041305899808,0.3385627269744873,0.3804287910461426,0.7153558052434457,0.37746478873239436,0.3468749523162842,0.4018775522708893,0.6891385767790262,0.4169014084507042
unit_conflict,586,180,0.30716723549488056,17,0.4462349626494503,0.4419570227267909,-0.004277939922659402,0.23388883471488953,0.14700764417648315,0.7888888888888889,0.12315270935960591,0.21106168627738953,0.13113638758659363,0.8222222222222222,0.11083743842364532
high_order_instability,582,199,0.34192439862542956,18,0.36518934379038925,0.36858228446290386,0.0033929406725146105,0.4642370045185089,0.4665793478488922,0.5879396984924623,0.4386422976501306,0.46512293815612793,0.4597286581993103,0.5678391959798995,0.4830287206266319
code_conflict,537,109,0.20297951582867785,15,0.44226649544536717,0.40528617067754946,-0.03698032476781771,0.11712206900119781,0.09947457909584045,0.9174311926605505,0.0794392523364486,0.09842531383037567,0.0932169035077095,0.9357798165137615,0.06542056074766354
model_conflict,479,95,0.19832985386221294,11,0.3461898646361734,0.387208149033273,0.04101828439709959,0.19388505816459656,0.2537154257297516,0.8421052631578947,0.20833333333333334,0.17620079219341278,0.24786196649074554,0.8736842105263158,0.2109375
positive_critical_conflict,424,424,1.0,0,,,,0.20411613583564758,,0.8231132075471698,,0.18719631433486938,,0.8490566037735849,
positive_numeric_conflict,259,259,1.0,0,,,,0.2274882048368454,,0.7915057915057915,,0.21157735586166382,,0.8146718146718147,
title_exact,209,5,0.023923444976076555,3,0.8333333333333334,0.8333333333333334,0.0,0.7275202870368958,0.11173513531684875,0.2,0.058823529411764705,0.7126557230949402,0.08745887130498886,0.2,0.049019607843137254
negative_exact_title,204,0,0.0,0,,,,,0.11173513531684875,,0.058823529411764705,,0.08745887130498886,,0.049019607843137254
positive_code_conflict,109,109,1.0,0,,,,0.11712206900119781,,0.9174311926605505,,0.09842531383037567,,0.9357798165137615,
memory_conflict,17,2,0.11764705882352941,2,0.20833333333333331,0.225,0.01666666666666669,0.22267191112041473,0.22571688890457153,1.0,0.2,0.23193202912807465,0.2254560887813568,1.0,0.26666666666666666
high_attribute_value_overlap,3,2,0.6666666666666666,1,0.5,0.5,0.0,0.17624691128730774,0.7555199265480042,1.0,1.0,0.2832939922809601,0.6395571827888489,0.5,1.0
